|  Repository Name  |   Owner    |                    URL                    |                                                              Description                                                               |   Stars |   Forks |  Language  |   Issues |      Created At      |      Updated At      |  Default Branch  |                                                                                           License                                                                                           |                                                                                  Topics                                                                                  |  Private  |
|:-----------------:|:----------:|:-----------------------------------------:|:--------------------------------------------------------------------------------------------------------------------------------------:|--------:|--------:|:----------:|---------:|:--------------------:|:--------------------:|:----------------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|:---------:|
|    deepvariant    |   google   |   https://github.com/google/deepvariant   | DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data. |    3155 |     710 |   Python   |        5 | 2017-11-23T01:56:22Z | 2024-08-26T18:42:18Z |      r1.6.1      | {'key': 'bsd-3-clause', 'name': 'BSD 3-Clause "New" or "Revised" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='} | ['bioinformatics', 'deep-learning', 'deep-neural-network', 'deepvariant', 'dna', 'genome', 'genomics', 'machine-learning', 'ngs', 'science', 'sequencing', 'tensorflow'] |   False   |
|    IAMDinosaur    | ivanseidel | https://github.com/ivanseidel/IAMDinosaur |                                 🦄 An Artificial Inteligence to teach Google's Dinosaur to jump cactus                                 |    2801 |     533 | JavaScript |       42 | 2015-12-27T21:19:53Z | 2024-08-18T13:45:28Z |      master      |                            {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                             |                                 ['artificial-intelligence', 'dino', 'genetic-algorithm', 'genome', 'google-dinosaur', 'neural-network']                                  |   False   |
|    deepvariant    |   google   |   https://github.com/google/deepvariant   | DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data. |    3155 |     710 |   Python   |        5 | 2017-11-23T01:56:22Z | 2024-08-26T18:42:18Z |      r1.6.1      | {'key': 'bsd-3-clause', 'name': 'BSD 3-Clause "New" or "Revised" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='} | ['bioinformatics', 'deep-learning', 'deep-neural-network', 'deepvariant', 'dna', 'genome', 'genomics', 'machine-learning', 'ngs', 'science', 'sequencing', 'tensorflow'] |   False   |
|    IAMDinosaur    | ivanseidel | https://github.com/ivanseidel/IAMDinosaur |                                 🦄 An Artificial Inteligence to teach Google's Dinosaur to jump cactus                                 |    2801 |     533 | JavaScript |       42 | 2015-12-27T21:19:53Z | 2024-08-18T13:45:28Z |      master      |                            {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                             |                                 ['artificial-intelligence', 'dino', 'genetic-algorithm', 'genome', 'google-dinosaur', 'neural-network']                                  |   False   |
|    deepvariant    |   google   |   https://github.com/google/deepvariant   | DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data. |    3155 |     710 |   Python   |        5 | 2017-11-23T01:56:22Z | 2024-08-26T18:42:18Z |      r1.6.1      | {'key': 'bsd-3-clause', 'name': 'BSD 3-Clause "New" or "Revised" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='} | ['bioinformatics', 'deep-learning', 'deep-neural-network', 'deepvariant', 'dna', 'genome', 'genomics', 'machine-learning', 'ngs', 'science', 'sequencing', 'tensorflow'] |   False   |
|    IAMDinosaur    | ivanseidel | https://github.com/ivanseidel/IAMDinosaur |                                 🦄 An Artificial Inteligence to teach Google's Dinosaur to jump cactus                                 |    2801 |     533 | JavaScript |       42 | 2015-12-27T21:19:53Z | 2024-08-18T13:45:28Z |      master      |                            {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                             |                                 ['artificial-intelligence', 'dino', 'genetic-algorithm', 'genome', 'google-dinosaur', 'neural-network']                                  |   False   |
|    deepvariant    |   google   |   https://github.com/google/deepvariant   | DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data. |    3155 |     710 |   Python   |        5 | 2017-11-23T01:56:22Z | 2024-08-26T18:42:18Z |      r1.6.1      | {'key': 'bsd-3-clause', 'name': 'BSD 3-Clause "New" or "Revised" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='} | ['bioinformatics', 'deep-learning', 'deep-neural-network', 'deepvariant', 'dna', 'genome', 'genomics', 'machine-learning', 'ngs', 'science', 'sequencing', 'tensorflow'] |   False   |
|    IAMDinosaur    | ivanseidel | https://github.com/ivanseidel/IAMDinosaur |                                 🦄 An Artificial Inteligence to teach Google's Dinosaur to jump cactus                                 |    2801 |     533 | JavaScript |       42 | 2015-12-27T21:19:53Z | 2024-08-18T13:45:28Z |      master      |                            {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                             |                                 ['artificial-intelligence', 'dino', 'genetic-algorithm', 'genome', 'google-dinosaur', 'neural-network']                                  |   False   |
